,p_steam,Theta,CAH,k_coat,delta_coat,N_s,alpha,bond
6550,1468.7744140625,41.4404296875,75.00732421875,1.6690429687500001,2.9703759765625e-05,416504.48974609375,7123.369480545016,5.910583161670365
6551,1468.7744140625,41.4404296875,75.00732421875,1.6690429687500001,2.9703759765625e-05,395996.69775390625,7121.031325785411,5.910583161670365
6552,1420.4345703125,52.0654296875,3.82470703125,7.018847656250001,9.870458984375001e-06,41504.86474609375,74165.43565744782,0.20433488933860286
6553,4562.5244140625,52.0654296875,3.82470703125,7.018847656250001,9.870458984375001e-06,41504.86474609375,76370.97695536033,0.20433488933860278
6554,1420.4345703125,105.1904296875,3.82470703125,7.018847656250001,9.870458984375001e-06,41504.86474609375,100882.2122501821,0.04288687579151789
6555,1420.4345703125,52.0654296875,41.63232421875,7.018847656250001,9.870458984375001e-06,41504.86474609375,50388.869309390626,2.176001399741543
6556,1420.4345703125,52.0654296875,3.82470703125,7.79404296875,9.870458984375001e-06,41504.86474609375,78956.23766950383,0.20433488933860286
6557,1420.4345703125,52.0654296875,3.82470703125,7.018847656250001,1.0991259765625e-05,41504.86474609375,69514.70349529601,0.20433488933860286
6558,1420.4345703125,52.0654296875,3.82470703125,7.018847656250001,9.870458984375001e-06,270996.82275390625,77813.21492392306,0.20433488933860286
6559,1420.4345703125,105.1904296875,41.63232421875,7.79404296875,1.0991259765625e-05,270996.82275390625,73239.546559576,0.4567105600759215
6560,4562.5244140625,52.0654296875,41.63232421875,7.79404296875,1.0991259765625e-05,270996.82275390625,54351.38251132008,2.1760013997415424
6561,4562.5244140625,105.1904296875,3.82470703125,7.79404296875,1.0991259765625e-05,270996.82275390625,110498.60941830283,0.04288687579151789
6562,4562.5244140625,105.1904296875,41.63232421875,7.018847656250001,1.0991259765625e-05,270996.82275390625,70387.85441598232,0.45671056007592137
6563,4562.5244140625,105.1904296875,41.63232421875,7.79404296875,9.870458984375001e-06,270996.82275390625,80112.3529539757,0.45671056007592137
6564,4562.5244140625,105.1904296875,41.63232421875,7.79404296875,1.0991259765625e-05,41504.86474609375,70088.35292691324,0.45671056007592137
6565,4562.5244140625,105.1904296875,41.63232421875,7.79404296875,1.0991259765625e-05,270996.82275390625,75040.71927842135,0.45671056007592137
6566,3895.4345703125,137.0654296875,48.32470703125,2.1188476562500003,3.4820458984375004e-05,541504.3647460938,9259.804828748735,0.19070581598692818
6567,2087.5244140625,137.0654296875,48.32470703125,2.1188476562500003,3.4820458984375004e-05,541504.3647460938,9168.922354641543,0.19070581598692818
6568,3895.4345703125,20.1904296875,48.32470703125,2.1188476562500003,3.4820458984375004e-05,541504.3647460938,2739.779988733411,16.92783301955234
6569,3895.4345703125,137.0654296875,86.13232421875,2.1188476562500003,3.4820458984375004e-05,541504.3647460938,8555.912661961953,0.3181404209435286
